Student ID,Student Name,College Name,Department,Registration Date,Active Status,Assessment Score,Assessment Completed Status,Course Completion Status,Placement Readiness Status
S0001,Student_1,VIT,IT,07-09-2025,Yes,93,Completed,Completed,Ready
S0002,Student_2,XYZ Institute,AI&DS,30-11-2025,Yes,45,Not Completed,Not Completed,Not Ready
S0003,Student_3,ABC College,AI&DS,13-02-2025,Yes,70,Completed,Completed,Not Ready
S0004,Student_4,JNTU,EEE,28-12-2025,Yes,69,Completed,Completed,Not Ready
S0005,Student_5,SVEC,AI&ML,22-10-2025,Yes,87,Completed,Completed,Ready
S0006,Student_6,VIT,ECE,09-11-2025,Yes,78,Completed,Not Completed,Not Ready
S0007,Student_7,ABC College,Civil,21-12-2025,No,70,Completed,Not Completed,Not Ready
S0008,Student_8,JNTU,IT,11-06-2025,Yes,72,Completed,Completed,Not Ready
S0009,Student_9,VIT,CSE,05-02-2025,Yes,55,Completed,Not Completed,Not Ready
S0010,Student_10,VIT,ECE,21-09-2025,Yes,64,Completed,Not Completed,Not Ready
S0011,Student_11,SVEC,AI&DS,31-08-2025,Yes,53,Completed,Not Completed,Not Ready
S0012,Student_12,VIT,AI&ML,09-03-2025,Yes,72,Completed,Completed,Not Ready
S0013,Student_13,ABC College,IT,22-06-2025,Yes,49,Not Completed,Not Completed,Not Ready
S0014,Student_14,JNTU,Civil,12-08-2025,Yes,92,Completed,Completed,Not Ready
S0015,Student_15,SVEC,ME,07-08-2025,Yes,62,Completed,Not Completed,Not Ready
S0016,Student_16,GITAM,AI&DS,27-05-2025,No,65,Completed,Not Completed,Not Ready
S0017,Student_17,GITAM,Civil,10-06-2025,Yes,77,Completed,Completed,Not Ready
S0018,Student_18,SVEC,ME,11-05-2025,Yes,57,Completed,Not Completed,Not Ready
S0019,Student_19,JNTU,CSE,29-05-2025,Yes,97,Completed,Completed,Ready
S0020,Student_20,GITAM,AI&DS,03-02-2025,Yes,80,Completed,Completed,Ready
S0021,Student_21,SVEC,AI&ML,17-12-2025,Yes,75,Completed,Completed,Ready
S0022,Student_22,XYZ Institute,Civil,18-01-2025,No,54,Completed,Not Completed,Not Ready
S0023,Student_23,VIT,IT,01-08-2025,Yes,75,Completed,Completed,Ready
S0024,Student_24,JNTU,CSE,20-12-2025,Yes,92,Completed,Completed,Ready
S0025,Student_25,GITAM,AI&DS,21-01-2025,Yes,46,Not Completed,Not Completed,Not Ready
S0026,Student_26,JNTU,CSE,28-11-2025,No,51,Completed,Not Completed,Not Ready
S0027,Student_27,ABC College,IT,23-09-2025,Yes,68,Completed,Completed,Not Ready
S0028,Student_28,JNTU,EEE,22-01-2025,Yes,76,Completed,Completed,Ready
S0029,Student_29,SVEC,AI&DS,16-10-2025,Yes,94,Completed,Completed,Not Ready
S0030,Student_30,SVEC,AI&DS,29-09-2025,Yes,88,Completed,Completed,Ready
S0031,Student_31,VIT,CSE,13-11-2025,Yes,78,Completed,Completed,Ready
S0032,Student_32,XYZ Institute,ECE,12-03-2025,Yes,55,Completed,Not Completed,Not Ready
S0033,Student_33,ABC College,ECE,25-05-2025,No,63,Completed,Not Completed,Not Ready
S0034,Student_34,VIT,Civil,27-12-2025,Yes,63,Completed,Not Completed,Not Ready
S0035,Student_35,ABC College,AI&ML,21-03-2025,No,69,Completed,Not Completed,Not Ready
S0036,Student_36,ABC College,Civil,13-12-2025,No,73,Completed,Not Completed,Not Ready
S0037,Student_37,JNTU,IT,30-07-2025,Yes,76,Completed,Completed,Ready
S0038,Student_38,JNTU,AI&ML,05-02-2025,Yes,48,Not Completed,Not Completed,Not Ready
S0039,Student_39,ABC College,Civil,17-07-2025,Yes,96,Completed,Completed,Ready
S0040,Student_40,XYZ Institute,IT,19-02-2025,No,78,Completed,Not Completed,Not Ready
S0041,Student_41,XYZ Institute,EEE,14-08-2025,Yes,66,Completed,Not Completed,Not Ready
S0042,Student_42,GITAM,ECE,20-04-2025,Yes,94,Completed,Not Completed,Not Ready
S0043,Student_43,JNTU,Civil,28-11-2025,Yes,70,Completed,Completed,Not Ready
S0044,Student_44,GITAM,EEE,15-02-2025,Yes,96,Completed,Completed,Ready
S0045,Student_45,ABC College,ECE,26-09-2025,Yes,48,Not Completed,Not Completed,Not Ready
S0046,Student_46,ABC College,AI&DS,13-09-2025,Yes,89,Completed,Not Completed,Not Ready
S0047,Student_47,VIT,AI&ML,11-09-2025,No,88,Completed,Not Completed,Not Ready
S0048,Student_48,VIT,Civil,25-10-2025,Yes,94,Completed,Not Completed,Not Ready
S0049,Student_49,GITAM,CSE,05-04-2025,Yes,58,Completed,Not Completed,Not Ready
S0050,Student_50,VIT,ECE,21-12-2025,Yes,75,Completed,Completed,Not Ready
S0051,Student_51,ABC College,IT,02-02-2025,Yes,46,Not Completed,Not Completed,Not Ready
S0052,Student_52,SVEC,AI&ML,10-11-2025,Yes,74,Completed,Completed,Not Ready
S0053,Student_53,XYZ Institute,Civil,28-03-2025,Yes,55,Completed,Not Completed,Not Ready
S0054,Student_54,GITAM,CSE,28-03-2025,No,88,Completed,Not Completed,Not Ready
S0055,Student_55,VIT,AI&DS,06-01-2025,Yes,47,Not Completed,Not Completed,Not Ready
S0056,Student_56,VIT,EEE,25-02-2025,Yes,51,Completed,Not Completed,Not Ready
S0057,Student_57,ABC College,AI&DS,21-04-2025,No,61,Completed,Not Completed,Not Ready
S0058,Student_58,GITAM,AI&DS,22-04-2025,Yes,51,Completed,Not Completed,Not Ready
S0059,Student_59,JNTU,AI&ML,01-07-2025,Yes,55,Completed,Not Completed,Not Ready
S0060,Student_60,GITAM,IT,07-04-2025,Yes,77,Completed,Completed,Ready
S0061,Student_61,VIT,AI&DS,08-09-2025,Yes,88,Completed,Completed,Ready
S0062,Student_62,GITAM,AI&ML,20-02-2025,Yes,53,Completed,Not Completed,Not Ready
S0063,Student_63,GITAM,IT,30-08-2025,Yes,56,Completed,Not Completed,Not Ready
S0064,Student_64,SVEC,AI&ML,23-11-2025,Yes,65,Completed,Completed,Not Ready
S0065,Student_65,VIT,IT,06-08-2025,Yes,50,Completed,Not Completed,Not Ready
S0066,Student_66,VIT,ECE,12-03-2025,Yes,80,Completed,Completed,Ready
S0067,Student_67,SVEC,Civil,19-04-2025,Yes,56,Completed,Not Completed,Not Ready
S0068,Student_68,XYZ Institute,EEE,08-11-2025,Yes,69,Completed,Completed,Not Ready
S0069,Student_69,JNTU,Civil,16-11-2025,Yes,61,Completed,Not Completed,Not Ready
S0070,Student_70,XYZ Institute,AI&DS,26-11-2025,Yes,52,Completed,Not Completed,Not Ready
S0071,Student_71,VIT,ECE,22-08-2025,No,49,Not Completed,Not Completed,Not Ready
S0072,Student_72,JNTU,EEE,04-11-2025,Yes,61,Completed,Not Completed,Not Ready
