Student ID,Student Name,College Name,Department,Registration Date,Active Status,Assessment Score,Course Completion Status,Placement Readiness Status
S0001,Student_1,VIT,IT,2025-09-07,Yes,93,Completed,Ready
S0002,Student_2,XYZ Institute,AI&DS,2025-11-30,Yes,45,Not Completed,Not Ready
S0003,Student_3,ABC College,AI&DS,2025-02-13,Yes,70,Completed,Not Ready
S0004,Student_4,JNTU,EEE,2025-12-28,Yes,69,Completed,Not Ready
S0005,Student_5,SVEC,AI&ML,2025-10-22,Yes,87,Completed,Ready
S0006,Student_6,VIT,ECE,2025-11-09,Yes,78,Not Completed,Not Ready
S0007,Student_7,ABC College,Civil,2025-12-21,No,70,Not Completed,Not Ready
S0008,Student_8,JNTU,IT,2025-06-11,Yes,72,Completed,Not Ready
S0009,Student_9,VIT,CSE,2025-02-05,Yes,55,Not Completed,Not Ready
S0010,Student_10,VIT,ECE,2025-09-21,Yes,64,Not Completed,Not Ready
S0011,Student_11,SVEC,AI&DS,2025-08-31,Yes,53,Not Completed,Not Ready
S0012,Student_12,VIT,AI&ML,2025-03-09,Yes,72,Completed,Not Ready
S0013,Student_13,ABC College,IT,2025-06-22,Yes,49,Not Completed,Not Ready
S0014,Student_14,JNTU,Civil,2025-08-12,Yes,92,Completed,Not Ready
S0015,Student_15,SVEC,ME,2025-08-07,Yes,62,Not Completed,Not Ready
S0016,Student_16,GITAM,AI&DS,2025-05-27,No,65,Not Completed,Not Ready
S0017,Student_17,GITAM,Civil,2025-06-10,Yes,77,Completed,Not Ready
S0018,Student_18,SVEC,ME,2025-05-11,Yes,57,Not Completed,Not Ready
S0019,Student_19,JNTU,CSE,2025-05-29,Yes,97,Completed,Ready
S0020,Student_20,GITAM,AI&DS,2025-02-03,Yes,80,Completed,Ready
S0021,Student_21,SVEC,AI&ML,2025-12-17,Yes,75,Completed,Ready
S0022,Student_22,XYZ Institute,Civil,2025-01-18,No,54,Not Completed,Not Ready
S0023,Student_23,VIT,IT,2025-08-01,Yes,75,Completed,Ready
S0024,Student_24,JNTU,CSE,2025-12-20,Yes,92,Completed,Ready
S0025,Student_25,GITAM,AI&DS,2025-01-21,Yes,46,Not Completed,Not Ready
S0026,Student_26,JNTU,CSE,2025-11-28,No,51,Not Completed,Not Ready
S0027,Student_27,ABC College,IT,2025-09-23,Yes,68,Completed,Not Ready
S0028,Student_28,JNTU,EEE,2025-01-22,Yes,76,Completed,Ready
S0029,Student_29,SVEC,AI&DS,2025-10-16,Yes,94,Completed,Not Ready
S0030,Student_30,SVEC,AI&DS,2025-09-29,Yes,88,Completed,Ready
S0031,Student_31,VIT,CSE,2025-11-13,Yes,78,Completed,Ready
S0032,Student_32,XYZ Institute,ECE,2025-03-12,Yes,55,Not Completed,Not Ready
S0033,Student_33,ABC College,ECE,2025-05-25,No,63,Not Completed,Not Ready
S0034,Student_34,VIT,Civil,2025-12-27,Yes,63,Not Completed,Not Ready
S0035,Student_35,ABC College,AI&ML,2025-03-21,No,69,Not Completed,Not Ready
S0036,Student_36,ABC College,Civil,2025-12-13,No,73,Not Completed,Not Ready
S0037,Student_37,JNTU,IT,2025-07-30,Yes,76,Completed,Ready
S0038,Student_38,JNTU,AI&ML,2025-02-05,Yes,48,Not Completed,Not Ready
S0039,Student_39,ABC College,Civil,2025-07-17,Yes,96,Completed,Ready
S0040,Student_40,XYZ Institute,IT,2025-02-19,No,78,Not Completed,Not Ready
S0041,Student_41,XYZ Institute,EEE,2025-08-14,Yes,66,Not Completed,Not Ready
S0042,Student_42,GITAM,ECE,2025-04-20,Yes,94,Not Completed,Not Ready
S0043,Student_43,JNTU,Civil,2025-11-28,Yes,70,Completed,Not Ready
S0044,Student_44,GITAM,EEE,2025-02-15,Yes,96,Completed,Ready
S0045,Student_45,ABC College,ECE,2025-09-26,Yes,48,Not Completed,Not Ready
S0046,Student_46,ABC College,AI&DS,2025-09-13,Yes,89,Not Completed,Not Ready
S0047,Student_47,VIT,AI&ML,2025-09-11,No,88,Not Completed,Not Ready
S0048,Student_48,VIT,Civil,2025-10-25,Yes,94,Not Completed,Not Ready
S0049,Student_49,GITAM,CSE,2025-04-05,Yes,58,Not Completed,Not Ready
